AssetNumber,LocationID,GamingDateID,GamingDate,SlotMachineKey,Plays,DaysOnFloor,ActualCoinIn,MeteredCoinIn,ActualCoinOut,MeteredCoinOut,Jackpots,Variance,ActualSoftDrop,MeteredSoftDrop,ActualHardDrop,MeteredHardDrop,ActualTicketDrop,MeteredTicketDrop,ActualTotalDrop,MeteredTotalDrop,Fills,ActualTicketIn,MeteredTicketIn,ActualTicketOut,MeteredTicketOut,ExtraCreditUsed,Bonus,ActualWin,MeteredWin,TheoreticalWin,LeaseFees,ActualAdjustedWin,MeteredAdjustedWin,CasinoCode,ManualUpdate
400383,WHXXXX,3879,2005-08-14 00:00:00.000,25897,251,1,0.00,228.75,0.00,322.25,171.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
102588,043204,8032,2016-12-27 00:00:00.000,30164,1032,1,0.00,1098.13,0.00,662.27,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,491.86,0.00,326.00,15.00,0.00,0.00,565.80,0.00,0.00,0.00,565.80,HRLV,0
500407,043004,5856,2011-01-12 00:00:00.000,29891,811,1,0.00,1615.00,0.00,1426.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,648.00,0.00,1055.00,0.00,0.00,0.00,1426.00,0.00,0.00,0.00,1426.00,HRLV,0
103765,011201,8385,2017-12-15 00:00:00.000,28539,1230,1,0.00,1408.80,0.00,1398.67,0.00,18.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1017.65,0.00,1466.52,18.80,0.00,0.00,1313.67,0.00,0.00,0.00,1313.67,HRLV,0
500454,050201,5721,2010-08-30 00:00:00.000,-1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
401492,028604,7966,2016-10-22 00:00:00.000,28653,824,1,0.00,333.50,0.00,256.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272.50,0.00,225.75,0.00,0.00,0.00,256.75,0.00,0.00,0.00,256.75,HRLV,0
100660,WHXXXX,3348,2004-03-01 00:00:00.000,29015,1820,1,0.00,522.71,0.00,385.46,146.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
101249,WHXXXX,3986,2005-11-29 00:00:00.000,27354,1953,1,0.00,542.18,0.00,491.53,95.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
101685,036205,4303,2006-10-12 00:00:00.000,-1,661,1,0.00,331.60,0.00,219.08,91.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
650197,051203,6106,2011-09-19 00:00:00.000,29440,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
101946,046002,5761,2010-10-09 00:00:00.000,24451,1904,1,0.00,829.84,0.00,675.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,896.04,0.00,988.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
650090,010103,4808,2008-02-29 00:00:00.000,29637,722,1,0.00,30600.00,0.00,28195.00,1600.00,0.00,0.00,2845.00,0.00,0.00,0.00,0.00,0.00,2845.00,0.00,0.00,0.00,0.00,440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
401539,032805,8195,2017-06-08 00:00:00.000,26741,411,1,0.00,3855.00,0.00,3604.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143.51,0.00,802.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
100557,WHXXXX,3241,2003-11-15 00:00:00.000,23627,1717,1,0.00,295.74,0.00,167.47,85.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
300365,025202,3897,2005-09-01 00:00:00.000,-1,839,1,0.00,396.70,0.00,336.10,136.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
102560,033808,6732,2013-06-06 00:00:00.000,25692,16,1,0.00,25.60,0.00,23.60,0.00,-97.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.74,0.00,55.74,0.00,0.00,0.00,23.60,0.00,0.00,0.00,23.60,HRLV,0
200075,019005,8098,2017-03-03 00:00:00.000,27943,39,1,0.00,97.50,0.00,47.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
400524,WHXXXX,3127,2003-07-24 00:00:00.000,27791,1992,1,0.00,1218.50,0.00,1048.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
100504,WHXXXX,3214,2003-10-19 00:00:00.000,23574,3,1,0.00,15.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
100324,WHXXXX,3964,2005-11-07 00:00:00.000,28865,1940,1,0.00,2115.00,0.00,1759.75,226.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
103706,032602,8407,2018-01-06 00:00:00.000,26761,990,1,0.00,3177.60,0.00,2522.10,1571.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,845.28,0.00,826.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
400373,WHXXXX,4331,2006-11-09 00:00:00.000,25887,1184,1,0.00,1419.25,0.00,1241.00,257.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
401512,020011,8101,2017-03-06 00:00:00.000,24655,878,1,0.00,4730.50,0.00,4490.25,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,550.75,0.00,0.00,0.00,4490.25,0.00,0.00,0.00,4490.25,HRLV,0
401388,042601,7873,2016-07-21 00:00:00.000,24567,1,1,0.00,1.00,0.00,2.00,0.00,-30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,HRLV,0
103711,012002,8423,2018-01-22 00:00:00.000,28630,650,1,0.00,1284.00,0.00,1598.56,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,395.24,0.00,1104.80,0.00,0.00,0.00,1429.30,0.00,0.00,0.00,1429.30,HRLV,0
500196,WHXXXX,4275,2006-09-14 00:00:00.000,26180,227,1,0.00,427.00,0.00,364.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
500560,051801,7558,2015-09-10 00:00:00.000,26375,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
102602,032001,6573,2012-12-29 00:00:00.000,30193,1176,1,0.00,692.81,0.00,624.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.81,0.00,308.19,0.00,0.00,0.00,624.19,0.00,0.00,0.00,624.19,HRLV,0
650038,WHXXXX,3138,2003-08-04 00:00:00.000,24311,3,1,0.00,20.00,0.00,0.00,0.00,0.00,0.00,1385.00,0.00,0.00,0.00,0.00,0.00,1385.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
103250,012801,8546,2018-05-25 00:00:00.000,28449,1723,1,0.00,1515.00,0.00,1215.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,673.85,0.00,806.85,0.00,0.00,0.00,1215.00,0.00,0.00,0.00,1215.00,HRLV,0
300467,054602,5708,2010-08-17 00:00:00.000,27050,1060,1,0.00,196.70,0.00,179.35,0.00,0.00,0.00,20.00,0.00,0.00,0.00,79.55,0.00,99.55,0.00,0.00,79.55,0.00,82.20,0.00,0.00,0.00,179.35,0.00,0.00,0.00,179.35,HRLV,0
401208,022403,6259,2012-02-19 00:00:00.000,25168,917,1,0.00,1271.25,0.00,994.50,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.29,0.00,244.54,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
103286,013207,8073,2017-02-06 00:00:00.000,26279,143,1,0.00,87.18,0.00,60.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,6.95,0.00,0.00,0.00,60.95,0.00,0.00,0.00,60.95,HRLV,0
400766,080112,5190,2009-03-17 00:00:00.000,27936,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
103459,027004,7871,2016-07-19 00:00:00.000,28285,1147,1,0.00,1269.64,0.00,1000.42,0.00,0.00,0.00,332.00,0.00,0.00,0.00,210.00,0.00,542.00,0.00,0.00,210.00,0.00,272.78,0.00,0.00,0.00,1000.42,0.00,0.00,0.00,1000.42,HRLV,0
500523,021003,6536,2012-11-22 00:00:00.000,30063,157,1,0.00,9391.00,0.00,9597.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,531.20,0.00,2466.76,0.00,0.00,0.00,9608.29,0.00,0.00,0.00,9608.29,HRLV,0
500578,037001,7276,2014-12-02 00:00:00.000,-1,55,1,0.00,257.00,0.00,444.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.71,0.00,270.71,50.00,0.00,0.00,394.00,0.00,0.00,0.00,394.00,HRLV,0
101580,023904,4618,2007-08-23 00:00:00.000,-1,1331,1,0.00,1422.90,0.00,1102.24,539.64,0.00,0.00,1666.00,1109.35,1109.35,0.00,0.00,1109.35,2775.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
400727,014004,4731,2007-12-14 00:00:00.000,-1,712,1,0.00,561.50,0.00,482.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.00,0.00,276.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
500161,WHXXXX,3760,2005-04-17 00:00:00.000,26145,573,1,0.00,1132.00,0.00,614.00,181.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
102817,045602,6884,2013-11-05 00:00:00.000,24463,24,1,0.00,25.45,0.00,21.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.25,0.00,95.95,0.00,0.00,0.00,21.15,0.00,0.00,0.00,21.15,HRLV,0
102773,030403,6854,2013-10-06 00:00:00.000,-1,1654,1,0.00,674.79,0.00,605.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.01,0.00,387.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
500250,033602,5409,2009-10-22 00:00:00.000,-1,298,1,0.00,805.00,0.00,772.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.67,0.00,765.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
500499,051206,7079,2014-05-19 00:00:00.000,-1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
101648,033402,4940,2008-07-10 00:00:00.000,-1,337,1,0.00,498.69,0.00,621.10,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.93,0.00,46.83,0.00,0.00,0.00,621.10,0.00,0.00,0.00,621.10,HRLV,0
300598,023006,6607,2013-02-01 00:00:00.000,24414,1415,1,0.00,18037.70,0.00,17317.00,1200.00,25.00,0.00,1025.00,0.00,0.00,0.00,340.25,0.00,1365.25,0.00,0.00,340.25,0.00,767.05,25.00,0.00,0.00,17292.00,0.00,0.00,0.00,17292.00,HRLV,0
