SlotMachineKey,AssetNumber,OnFloor,OffFloor,Status,LocationID,Zone,Bank,Position,Denomination,Par,SerialNumber,CabinetTypeID,DisplayID,ManufacturerID,ContributionTypeID,GameCode,Description,GameID,MultiGame,leased,contribution,MaxCoins,CasinoCode,RecordEffectiveDate,RecordTermDate,ManualUpdate,SourceSystem,LoadDTTM
36851,103792,2017-12-13 00:00:00.000,NULL,A,028204,02,"82        ","04 ",0.01,11.4900,2065676,NULL,7,6,NULL,V Reel,200C DANGEROUS BEAUTY 01-05 MD,5366269,0,1,NULL,200,HRLV,2017-12-13 00:00:00.000,2017-12-12 00:00:00.000,0,IGT,2018-05-30 05:30:20.620
33558,300725,2017-12-19 00:00:00.000,NULL,A,027802,02,"78        ","02 ",0.0500,5.2000,1938120,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,6571484,0,1,NULL,100,HRLV,2017-12-19 00:00:00.000,2017-12-18 00:00:00.000,0,IGT,2018-03-18 05:30:15.287
31917,103792,2017-12-13 00:00:00.000,NULL,A,028204,02,"82        ","04 ",0.0100,11.4900,2065676,NULL,7,6,NULL,V Reel,200C DANGEROUS BEAUTY 01-05 MD,5366269,0,1,NULL,200,HRLV,2017-12-13 00:00:00.000,2017-12-12 00:00:00.000,0,IGT,2018-01-31 05:30:13.243
38242,103830,2018-05-22 00:00:00.000,NULL,A,035204,03,"52        ","04 ",0.01,11.4800,W2218307,NULL,7,200022,NULL,V Reel,150C ZEUS 01-05 MD,6580232,0,1,NULL,150,HRLV,2018-05-22 00:00:00.000,2018-05-21 00:00:00.000,0,IGT,2018-06-26 05:30:21.670
25008,401218,2011-09-23 00:00:00.000,2015-05-11 00:00:00.000,I,010807,01,"08        ","07 ",0.2500,5.1900,914640,16,7,6,NULL,Multi,BAR .25 PROG G/K 25-2 MD 8L,4994735,0,0,NULL,100,HRLV,2011-09-23 00:00:00.000,2015-05-11 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
25218,300625,2011-05-12 00:00:00.000,2014-10-27 00:00:00.000,I,044608,04,"46        ","08 ",0.0500,6.8200,976784,55,7,6,NULL,Multi,GAME KING 05-25 MD,4796481,0,0,NULL,100,HRLV,2011-05-12 00:00:00.000,2014-10-27 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
24258,500292,2007-10-04 00:00:00.000,NULL,I,WH1002,WH,"10        ","02 ",1.0000,2.0100,V060775502,23,7,2,NULL,Blackjack,Multi Hand BJ 1 to 5 MD,NULL,1,0,NULL,70,HRLV,2007-10-04 00:00:00.000,5999-12-31 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
42985,103777,2017-10-11 00:00:00.000,NULL,A,020602,02,"06        ","02 ",0.01,12.3600,HXS8004804,NULL,7,200015,NULL,Participation,250C DUMB & DUMBER 4L,6577433,1,0,NULL,250,HRLV,2017-10-11 00:00:00.000,2017-10-10 00:00:00.000,0,IGT,2018-09-20 05:31:35.927
42384,103815,2018-02-27 00:00:00.000,NULL,A,011301,01,"13        ","01 ",0.01,10.1000,2392023,NULL,7,6,NULL,Participation,400C FRT KNX DIA VLT 5L,1358978335,1,0,NULL,400,HRLV,2018-02-27 00:00:00.000,2018-02-26 00:00:00.000,0,IGT,2018-09-10 05:30:20.487
28260,102429,2012-06-28 00:00:00.000,2013-01-14 00:00:00.000,I,012802,01,"28        ","02 ",0.0100,9.8900,VIRWS500575,36,7,200015,NULL,V Reel,200C MORE CHILLI,6684690,0,0,NULL,200,HRLV,2012-06-28 00:00:00.000,2013-01-14 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
39540,103813,2018-02-07 00:00:00.000,NULL,A,013202,01,"32        ","02 ",0.01,11.4700,W2237314,NULL,7,200022,NULL,V Reel,M/G CHEST #7 01-05 MD,5804624,0,1,NULL,250,HRLV,2018-02-07 00:00:00.000,2018-02-06 00:00:00.000,0,IGT,2018-07-22 05:30:20.720
40019,300718,2017-11-21 00:00:00.000,NULL,A,028605,02,"86        ","05 ",0.05,5.2000,1938123,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,5792557,0,1,NULL,100,HRLV,2017-11-21 00:00:00.000,2017-11-20 00:00:00.000,0,IGT,2018-07-30 05:30:20.597
43802,103822,2018-03-29 00:00:00.000,NULL,A,031203,03,"12        ","03 ",0.01,12.0000,13002244,NULL,7,200025,NULL,V Reel,500C STARRY NIGHT 01-05 MD,4657577,0,1,NULL,500,HRLV,2018-03-29 00:00:00.000,2018-03-28 00:00:00.000,0,IGT,2018-10-05 05:30:24.040
45388,103831,2018-06-07 00:00:00.000,NULL,A,028204,02,"82        ","04 ",0.01,10.1000,2065676,NULL,7,6,NULL,V Reel,250C FIRE PEARL 01-05 MD,5366269,0,1,NULL,250,HRLV,2018-06-07 00:00:00.000,2018-06-06 00:00:00.000,0,IGT,2018-10-31 06:09:52.417
31916,300726,2017-12-19 00:00:00.000,NULL,A,027803,02,"78        ","03 ",0.0500,7.5400,1956740,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,4670228,0,1,NULL,100,HRLV,2017-12-19 00:00:00.000,2017-12-18 00:00:00.000,0,IGT,2018-01-31 05:30:13.243
36623,103810,2018-02-09 00:00:00.000,NULL,A,022806,02,"28        ","06 ",0.01,11.9300,100316,NULL,7,200019,NULL,V Reel,225C ASTRONOMICAL MAGIC 01-05 MD,4666488,0,1,NULL,225,HRLV,2018-02-09 00:00:00.000,2018-02-08 00:00:00.000,0,IGT,2018-05-26 05:30:21.687
29647,700004,2003-02-13 00:00:00.000,NULL,I,WHXXXX,WH,"XX        ","XX ",10.0000,5.9900,1172054,52,7,6,NULL,Reel,GAME KING 5-25 MD 2L,NULL,0,0,NULL,NULL,HRLV,2003-02-13 00:00:00.000,5999-12-31 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
39353,103831,2018-06-07 00:00:00.000,NULL,A,028204,02,"82        ","04 ",0.01,10.1000,2065676,NULL,7,6,NULL,V Reel,250C FIRE PEARL 01-05 MD,5366269,0,1,NULL,250,HRLV,2018-06-07 00:00:00.000,2018-06-06 00:00:00.000,0,IGT,2018-07-19 05:30:20.703
41003,401553,2018-04-12 00:00:00.000,NULL,A,042802,04,"28        ","02 ",0.25,13.0000,2366894,NULL,4,6,NULL,Participation,WOF TRPL GLD GLD SPIN,1358958438,1,0,NULL,10,HRLV,2018-04-12 00:00:00.000,2018-04-11 00:00:00.000,0,IGT,2018-08-17 05:31:03.363
26769,500647,2017-09-15 00:00:00.000,NULL,A,044003,04,"40        ","03 ",1.0000,13.9600,1909750,11,4,6,NULL,Participation,MEGA DBL DIA DLX,1358975113,0,1,NULL,3,HRLV,2017-09-15 00:00:00.000,5999-12-31 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
29266,300088,2002-05-30 00:00:00.000,NULL,I,WHXXXX,WH,"XX        ","XX ",0.0500,11.4900,1171864,39,7,6,NULL,Reel,200C COOL CAT CASH 01-10 MD,NULL,0,0,NULL,NULL,HRLV,2002-05-30 00:00:00.000,5999-12-31 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
38168,300729,2017-12-21 00:00:00.000,NULL,A,027806,02,"78        ","06 ",0.05,5.2000,1956745,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,4663482,0,1,NULL,100,HRLV,2017-12-21 00:00:00.000,2017-12-20 00:00:00.000,0,IGT,2018-06-24 05:30:21.093
